county Name,AUN,LEA,School Code,School,Graduate Count,College Bound,Total College Bound %,2- or 4-Year College or University,2- Or 4-Year University %,Total Postsecondary Bound,Total Postsecondary Bound %,Non-Degree-Granting Postsecondary School,Non-Degree-Granting Postsecondary School %,Specialized Associate Degree Granting Institution,Specialized Associate Degree Granting Institution %
,,,9999,Whitehall-Coplay SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,175390169,Lincoln Leadership Academy Charter School,8125,Lincoln Leadership Academy Charter School,61,57,93.44%,57,93.44%,58,95.08%,1,1.64%,0,0.00%
Luzerne,118401403,Crestwood SD,2860,Crestwood HS,220,185,84.09%,182,82.73%,185,84.09%,0,0.00%,3,1.36%
,,,9999,Crestwood SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,118401603,Dallas SD,2869,Dallas SHS,207,183,88.41%,183,88.41%,185,89.37%,2,0.97%,0,0.00%
,,,9999,Dallas SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,118402603,Greater Nanticoke Area SD,5242,Greater Nanticoke Area SHS,160,103,64.38%,103,64.38%,106,66.25%,3,1.88%,0,0.00%
,,,9999,Greater Nanticoke Area SD,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,118403003,Hanover Area SD,2891,Hanover Area JSHS,140,108,77.14%,108,77.14%,108,77.14%,0,0.00%,0,0.00%
,,,9999,Hanover Area SD,7,1,14.29%,1,14.29%,1,14.29%,0,0.00%,0,0.00%
,118403302,Hazleton Area SD,7348,Hazleton Area HS,748,481,64.30%,472,63.10%,491,65.64%,10,1.34%,9,1.20%
,118403903,Lake-Lehman SD,2924,Lake-Lehman JSHS,117,89,76.07%,89,76.07%,90,76.92%,1,0.85%,0,0.00%
,118406003,Northwest Area SD,2958,Northwest Area HS,74,51,68.92%,51,68.92%,56,75.68%,5,6.76%,0,0.00%
,118406602,Pittston Area SD,5058,Pittston Area SHS,236,201,85.17%,201,85.17%,208,88.14%,7,2.97%,0,0.00%
,118408707,West Side CTC,5059,West Side CTC,106,50,47.17%,48,45.28%,51,48.11%,1,0.94%,2,1.89%
,118408852,Wilkes-Barre Area SD,3007,James M Coughlin JSHS,193,145,75.13%,142,73.58%,145,75.13%,0,0.00%,3,1.55%
,,,3008,G A R Memorial JSHS,126,70,55.56%,70,55.56%,72,57.14%,2,1.59%,0,0.00%
,,,3009,Elmer L Meyers JSHS,167,130,77.84%,124,74.25%,133,79.64%,3,1.80%,6,3.59%
,,,9999,Wilkes-Barre Area SD,32,7,21.88%,7,21.88%,7,21.88%,0,0.00%,0,0.00%
,118409203,Wyoming Area SD,6390,Wyoming Area Sec Ctr,140,113,80.71%,110,78.57%,114,81.43%,1,0.71%,3,2.14%
,118409302,Wyoming Valley West SD,6391,Wyoming Valley West SHS,286,201,70.28%,193,67.48%,202,70.63%,1,0.35%,8,2.80%
,,,9999,Wyoming Valley West SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Lycoming,117412003,East Lycoming SD,6364,Hughesville JSHS,118,68,57.63%,67,56.78%,70,59.32%,2,1.69%,1,0.85%
,117414003,Jersey Shore Area SD,3034,Jersey Shore Area SHS,160,106,66.25%,101,63.13%,106,66.25%,0,0.00%,5,3.13%
,117414203,Loyalsock Township SD,4828,Loyalsock Twp SHS,110,80,72.73%,80,72.73%,83,75.45%,3,2.73%,0,0.00%
,117415004,Montgomery Area SD,3040,Montgomery JSHS,49,30,61.22%,25,51.02%,32,65.31%,2,4.08%,5,10.20%
,117415103,Montoursville Area SD,3045,Montoursville Area SHS,161,120,74.53%,120,74.53%,121,75.16%,1,0.62%,0,0.00%
,117415303,Muncy SD,3048,Muncy JSHS,66,53,80.30%,53,80.30%,53,80.30%,0,0.00%,0,0.00%
,,,9999,Muncy SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,117416103,South Williamsport Area SD,3056,South Williamsport Area JSHS,85,56,65.88%,56,65.88%,57,67.06%,1,1.18%,0,0.00%
,117417202,Williamsport Area SD,6368,Williamsport Area SHS,334,153,45.81%,153,45.81%,153,45.81%,0,0.00%,0,0.00%
,,,9999,Williamsport Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
McKean,109420803,Bradford Area SD,4691,Bradford Area HS,169,99,58.58%,97,57.40%,104,61.54%,5,2.96%,2,1.18%
,,,9999,Bradford Area SD,5,0,0.00%,0,0.00%,4,80.00%,4,80.00%,0,0.00%
,109422303,Kane Area SD,5245,Kane Area HS,78,51,65.38%,51,65.38%,51,65.38%,0,0.00%,0,0.00%
,109426003,Otto-Eldred SD,3107,Otto-Eldred JSHS,44,31,70.45%,29,65.91%,33,75.00%,2,4.55%,2,4.55%
,109426303,Port Allegany SD,3111,Port Allegany JSHS,59,34,57.63%,32,54.24%,35,59.32%,1,1.69%,2,3.39%
,109427503,Smethport Area SD,3117,Smethport Area JSHS,63,34,53.97%,31,49.21%,35,55.56%,1,1.59%,3,4.76%
Mercer,104431304,Commodore Perry SD,6122,Commodore Perry JSHS,44,28,63.64%,24,54.55%,28,63.64%,0,0.00%,4,9.09%
,104432503,Farrell Area SD,5248,Farrell Area HS/UMS,46,31,67.39%,21,45.65%,32,69.57%,1,2.17%,10,21.74%
,104432803,Greenville Area SD,3137,Greenville JSHS,119,88,73.95%,85,71.43%,99,83.19%,11,9.24%,3,2.52%
,104432830,Keystone Education Center CS,7506,Keystone Education Center CS,46,0,0.00%,0,0.00%,6,13.04%,6,13.04%,0,0.00%
,104432903,Grove City Area SD,3145,Grove City Area HS,153,117,76.47%,114,74.51%,118,77.12%,1,0.65%,3,1.96%
,,,6125,George Jr Republic HS,29,12,41.38%,9,31.03%,13,44.83%,1,3.45%,3,10.34%
,104433303,Hermitage SD,3150,Hickory HS,159,128,80.50%,125,78.62%,128,80.50%,0,0.00%,3,1.89%
,104433604,Jamestown Area SD,6126,Jamestown Area JSHS,27,17,62.96%,17,62.96%,22,81.48%,5,18.52%,0,0.00%
,104433903,Lakeview SD,3155,Lakeview HS,103,64,62.14%,64,62.14%,65,63.11%,1,0.97%,0,0.00%
,104435003,Mercer Area SD,3158,Mercer Area SHS,108,70,64.81%,67,62.04%,72,66.67%,2,1.85%,3,2.78%
,104435303,Reynolds SD,3165,Reynolds JSHS,105,77,73.33%,72,68.57%,77,73.33%,0,0.00%,5,4.76%
,104435603,Sharon City SD,8093,Sharon HS,125,77,61.60%,77,61.60%,77,61.60%,0,0.00%,0,0.00%
,,,9999,Sharon City SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,104435703,Sharpsville Area SD,3124,Sharpsville Area SHS,95,64,67.37%,63,66.32%,69,72.63%,5,5.26%,1,1.05%
,104437503,West Middlesex Area SD,6129,West Middlesex Area JSHS,73,51,69.86%,43,58.90%,51,69.86%,0,0.00%,8,10.96%
,,,9999,West Middlesex Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mifflin,111444602,Mifflin County SD,8187,Mifflin Co HS,420,206,49.05%,193,45.95%,213,50.71%,7,1.67%,13,3.10%
,,,9999,Mifflin County SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Monroe,120450003,Evergreen Community CS,7866,Evergreen Community CS,11,10,90.91%,10,90.91%,10,90.91%,0,0.00%,0,0.00%
,120452003,East Stroudsburg Area SD,6935,East Stroudsburg SHS South,326,244,74.85%,152,46.63%,261,80.06%,17,5.21%,92,28.22%
,,,7641,East Stroudsburg SHS North,251,160,63.75%,160,63.75%,164,65.34%,4,1.59%,0,0.00%
,,,9999,East Stroudsburg Area SD,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,120455203,Pleasant Valley SD,3210,Pleasant Valley HS,410,331,80.73%,323,78.78%,338,82.44%,7,1.71%,8,1.95%
,120455403,Pocono Mountain SD,3216,Pocono Mountain East HS,337,265,78.64%,262,77.74%,266,78.93%,1,0.30%,3,0.89%
,,,7738,Pocono Mountain West HS,411,209,50.85%,209,50.85%,217,52.80%,8,1.95%,0,0.00%
,,,8010,Pocono Mountain East JHS,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,9999,Pocono Mountain SD,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,120456003,Stroudsburg Area SD,3224,Stroudsburg HS,388,193,49.74%,191,49.23%,193,49.74%,0,0.00%,2,0.52%
,,,9999,Stroudsburg Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Montgomery,123460001,Pennsylvania Virtual CS,7687,Pennsylvania Virtual CS,201,96,47.76%,95,47.26%,110,54.73%,14,6.97%,1,0.50%
,123460302,Abington SD,3241,Abington SHS,562,481,85.59%,479,85.23%,481,85.59%,0,0.00%,2,0.36%
,123461302,Cheltenham SD,3260,Cheltenham HS,331,270,81.57%,267,80.66%,280,84.59%,10,3.02%,3,0.91%
,,,9999,Cheltenham SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123461602,Colonial SD,3333,Plymouth-Whitemarsh SHS,351,308,87.75%,306,87.18%,312,88.89%,4,1.14%,2,0.57%
,,,9999,Colonial SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123463603,Hatboro-Horsham SD,3272,Hatboro-Horsham SHS,373,331,88.74%,330,88.47%,332,89.01%,1,0.27%,1,0.27%
,,,9999,Hatboro-Horsham SD,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
,123463803,Jenkintown SD,8049,Jenkintown Middle/High School,38,38,100.00%,38,100.00%,38,100.00%,0,0.00%,0,0.00%
,123464502,Lower Merion SD,3295,Lower Merion HS,357,333,93.28%,333,93.28%,337,94.40%,4,1.12%,0,0.00%
,,,3296,Harriton SHS,287,269,93.73%,269,93.73%,272,94.77%,3,1.05%,0,0.00%
,,,9999,Lower Merion SD,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123464603,Lower Moreland Township SD,4960,Lower Moreland HS,186,178,95.70%,178,95.70%,178,95.70%,0,0.00%,0,0.00%
,123465303,Methacton SD,3305,Methacton HS,395,357,90.38%,357,90.38%,360,91.14%,3,0.76%,0,0.00%
,,,9999,Methacton SD,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
,123465602,Norristown Area SD,6729,Norristown Area HS,292,221,75.68%,217,74.32%,221,75.68%,0,0.00%,4,1.37%
,,,6998,Roosevelt Altern Sch,67,39,58.21%,35,52.24%,39,58.21%,0,0.00%,4,5.97%
,,,9999,Norristown Area SD,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123465702,North Penn SD,5345,North Penn SHS,974,830,85.22%,829,85.11%,841,86.34%,11,1.13%,1,0.10%
,,,9999,North Penn SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123466103,Perkiomen Valley SD,3328,Perkiomen Valley HS,417,361,86.57%,357,85.61%,362,86.81%,1,0.24%,4,0.96%
,,,9999,Perkiomen Valley SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123466303,Pottsgrove SD,3338,Pottsgrove SHS,260,199,76.54%,197,75.77%,199,76.54%,0,0.00%,2,0.77%
,,,9999,Pottsgrove SD,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123466403,Pottstown SD,3348,Pottstown SHS,148,106,71.62%,101,68.24%,106,71.62%,0,0.00%,5,3.38%
,,,9999,Pottstown SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123467103,Souderton Area SD,3354,Souderton Area SHS,536,426,79.48%,426,79.48%,436,81.34%,10,1.87%,0,0.00%
,,,9999,Souderton Area SD,17,1,5.88%,1,5.88%,1,5.88%,0,0.00%,0,0.00%
,123467203,Springfield Township SD,3376,Springfield Twp HS,136,121,88.97%,121,88.97%,122,89.71%,1,0.74%,0,0.00%
,,,9999,Springfield Township SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123467303,Spring-Ford Area SD,3367,Spring-Ford SHS 9-12 Ctr,641,559,87.21%,557,86.90%,566,88.30%,7,1.09%,2,0.31%
,,,9999,Spring-Ford Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123468303,Upper Dublin SD,5078,Upper Dublin HS,369,350,94.85%,344,93.22%,352,95.39%,2,0.54%,6,1.63%
,,,9999,Upper Dublin SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123468402,Upper Merion Area SD,3395,Upper Merion HS,255,220,86.27%,217,85.10%,220,86.27%,0,0.00%,3,1.18%
,,,9999,Upper Merion Area SD,17,3,17.65%,3,17.65%,3,17.65%,0,0.00%,0,0.00%
,123468503,Upper Moreland Township SD,3401,Upper Moreland HS,238,192,80.67%,192,80.67%,194,81.51%,2,0.84%,0,0.00%
,123468603,Upper Perkiomen SD,5081,Upper Perkiomen HS,222,146,65.77%,146,65.77%,148,66.67%,2,0.90%,0,0.00%
,,,9999,Upper Perkiomen SD,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,123469303,Wissahickon SD,3247,Wissahickon SHS,337,313,92.88%,312,92.58%,315,93.47%,2,0.59%,1,0.30%
,,,9999,Wissahickon SD,17,2,11.76%,2,11.76%,3,17.65%,1,5.88%,0,0.00%
,126510020,Agora Cyber CS,7858,Agora Cyber CS,752,345,45.88%,329,43.75%,398,52.93%,53,7.05%,16,2.13%
,,,9999,Agora Cyber CS,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Montour,116471803,Danville Area SD,3425,Danville Area SHS,153,109,71.24%,108,70.59%,116,75.82%,7,4.58%,1,0.65%
Northampton,120480002,Lehigh Valley Academy Regional CS,7681,Lehigh Valley Academy Regional CS,71,68,95.77%,67,94.37%,68,95.77%,0,0.00%,1,1.41%
,120480803,Bangor Area SD,3434,Bangor Area HS,213,144,67.61%,144,67.61%,144,67.61%,0,0.00%,0,0.00%
,120481002,Bethlehem Area SD,3465,Liberty HS,632,478,75.63%,465,73.58%,487,77.06%,9,1.42%,13,2.06%
,,,4957,Freedom HS,435,344,79.08%,340,78.16%,349,80.23%,5,1.15%,4,0.92%
,,,9999,Bethlehem Area SD,10,4,40.00%,4,40.00%,4,40.00%,0,0.00%,0,0.00%
,120483170,Lehigh Valley Charter High School for th,7634,Lehigh Valley Charter High School for th,149,128,85.91%,128,85.91%,131,87.92%,3,2.01%,0,0.00%
,120483302,Easton Area SD,3482,Easton Area HS,613,487,79.45%,484,78.96%,503,82.06%,16,2.61%,3,0.49%
,120484803,Nazareth Area SD,3495,Nazareth Area HS,372,333,89.52%,329,88.44%,335,90.05%,2,0.54%,4,1.08%
,120484903,Northampton Area SD,3505,Northampton Area HS,418,329,78.71%,325,77.75%,333,79.67%,4,0.96%,4,0.96%
,120485603,Pen Argyl Area SD,6439,Pen Argyl Area HS,125,86,68.80%,81,64.80%,88,70.40%,2,1.60%,5,4.00%
,120486003,Saucon Valley SD,5352,Saucon Valley SHS,189,160,84.66%,160,84.66%,160,84.66%,0,0.00%,0,0.00%
,120488603,Wilson Area SD,3522,Wilson Area HS,167,143,85.63%,141,84.43%,144,86.23%,1,0.60%,2,1.20%
,,,9999,Wilson Area SD,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Northumberland,116493503,Line Mountain SD,3532,Line Mountain HS,90,52,57.78%,48,53.33%,58,64.44%,6,6.67%,4,4.44%
,,,9999,Line Mountain SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,116495003,Milton Area SD,3541,Milton HS,151,79,52.32%,79,52.32%,80,52.98%,1,0.66%,0,0.00%
,,,9999,Milton Area SD,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,116495103,Mount Carmel Area SD,6936,Mount Carmel Area HS,99,70,70.71%,69,69.70%,71,71.72%,1,1.01%,1,1.01%
,,,9999,Mount Carmel Area SD,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,116496503,Shamokin Area SD,7893,Shamokin Area HS,127,74,58.27%,72,56.69%,75,59.06%,1,0.79%,2,1.57%
,116496603,Shikellamy SD,3569,Shikellamy HS,173,105,60.69%,104,60.12%,105,60.69%,0,0.00%,1,0.58%
,116498003,Warrior Run SD,5103,Warrior Run HS,120,70,58.33%,70,58.33%,77,64.17%,7,5.83%,0,0.00%
Perry,115503004,Greenwood SD,6341,Greenwood HS,50,37,74.00%,37,74.00%,39,78.00%,2,4.00%,0,0.00%
,115504003,Newport SD,7930,Newport HS,69,51,73.91%,50,72.46%,51,73.91%,0,0.00%,1,1.45%
,115506003,Susquenita SD,3589,Susquenita HS,115,67,58.26%,67,58.26%,67,58.26%,0,0.00%,0,0.00%
,115508003,West Perry SD,3596,West Perry SHS,163,88,53.99%,87,53.37%,89,54.60%,1,0.61%,1,0.61%
Philadelphia,100510000,First Philadelphia Preparatory Charter S,7744,First Philadelphia Preparatory Charter S,45,36,80.00%,34,75.56%,37,82.22%,1,2.22%,2,4.44%
,114514135,Sankofa Freedom Academy Charter School,8083,Sankofa Freedom Academy Charter School,37,35,94.59%,34,91.89%,37,100.00%,2,5.41%,1,2.70%
,126510002,Mastery CHS - Lenfest Campus,7678,Mastery CHS - Lenfest Campus,66,52,78.79%,52,78.79%,56,84.85%,4,6.06%,0,0.00%
,126510009,Philadelphia Electrical & Tech CHS,7737,Philadelphia Electrical & Tech CHS,159,81,50.94%,81,50.94%,104,65.41%,23,14.47%,0,0.00%
,126510014,Maritime Academy Charter School,7777,Maritime Academy CS,63,40,63.49%,40,63.49%,42,66.67%,2,3.17%,0,0.00%
,126510022,Mastery CS-Shoemaker Campus,7909,Mastery CS -Shoemaker Campus,116,102,87.93%,100,86.21%,107,92.24%,5,4.31%,2,1.72%
,126510023,Mastery CS-Thomas Campus,7910,Mastery CS - Thomas Campus,92,73,79.35%,73,79.35%,73,79.35%,0,0.00%,0,0.00%
,126511563,Esperanza Cyber CS,8216,Esperanza Cyber CS,22,13,59.09%,13,59.09%,17,77.27%,4,18.18%,0,0.00%
,126512840,Community Academy of Philadelphia CS,7510,Community Academy of Philadelphia CS,133,98,73.68%,98,73.68%,104,78.20%,6,4.51%,0,0.00%
,126512870,Youth Build Phila CS,7513,Youth Build Phila CS,139,14,10.07%,12,8.63%,20,14.39%,6,4.32%,2,1.44%
,126512960,Preparatory CS of Mathematics Science Te,7540,Preparatory CS of Mathematics Science,118,70,59.32%,70,59.32%,73,61.86%,3,2.54%,0,0.00%
,126512980,Imhotep Institute CHS,7542,Imhotep Institute CHS,125,104,83.20%,104,83.20%,106,84.80%,2,1.60%,0,0.00%
,126513000,Multicultural Academy CS,7546,Multicultural Academy CS,55,52,94.55%,51,92.73%,52,94.55%,0,0.00%,1,1.82%
,126513150,MAST Community Charter School,7574,MAST Community Charter School,102,89,87.25%,87,85.29%,90,88.24%,1,0.98%,2,1.96%
,126513190,Charter High School for Architecture and,7578,Charter High School for Architecture and,116,107,92.24%,107,92.24%,107,92.24%,0,0.00%,0,0.00%
,126513230,Math Civics and Sciences CS,7582,Math Civics and Sciences CS,75,73,97.33%,70,93.33%,73,97.33%,0,0.00%,3,4.00%
,126513270,Freire CS,7586,Freire CS,95,91,95.79%,90,94.74%,93,97.89%,2,2.11%,1,1.05%
,126513280,Philadelphia Academy CS,7587,Philadelphia Academy CS,100,78,78.00%,78,78.00%,78,78.00%,0,0.00%,0,0.00%
,126513290,Mastery CS - Hardy Williams,7588,Mastery CS - Hardy Williams,60,41,68.33%,41,68.33%,45,75.00%,4,6.67%,0,0.00%
,126513400,Philadelphia Performing Arts CS,7647,Philadelphia Performing Arts CS,207,200,96.62%,200,96.62%,202,97.58%,2,0.97%,0,0.00%
,126513420,New Foundations CS,7649,New Foundations CS,190,178,93.68%,178,93.68%,180,94.74%,2,1.05%,0,0.00%
,126513440,Esperanza Academy Charter School,7665,Esperanza Academy Charter School,157,102,64.97%,102,64.97%,111,70.70%,9,5.73%,0,0.00%
,126513450,Franklin Towne CHS,7666,Franklin Towne CHS,253,198,78.26%,198,78.26%,210,83.00%,12,4.74%,0,0.00%
,126513452,Olney Charter High School,8205,Olney Charter High School,432,238,55.09%,236,54.63%,280,64.81%,42,9.72%,2,0.46%
,126513480,Mariana Bracetti Academy CS,7672,Mariana Bracetti Academy CS,111,81,72.97%,81,72.97%,81,72.97%,0,0.00%,0,0.00%
,126513734,Mastery CS-Gratz Campus,8207,Mastery CS-Gratz Campus,234,152,64.96%,152,64.96%,177,75.64%,25,10.68%,0,0.00%
,126514368,ACT Academy Cyber CS,8217,ACT Academy Cyber CS,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,126514864,KIPP DuBois Charter School,8358,KIPP DuBois Charter School,112,97,86.61%,97,86.61%,104,92.86%,7,6.25%,0,0.00%
,126515001,Philadelphia City SD,3728,Widener Memorial Sch,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,,,3808,Masterman Julia R Sec Sch,106,104,98.11%,104,98.11%,104,98.11%,0,0.00%,0,0.00%
,,,3816,Fels Samuel HS,181,109,60.22%,98,54.14%,114,62.98%,5,2.76%,11,6.08%
,,,3818,Furness Horace HS,149,98,65.77%,92,61.74%,101,67.79%,3,2.01%,6,4.03%
,,,3841,Dobbins AVT HS,83,51,61.45%,48,57.83%,54,65.06%,3,3.61%,3,3.61%
,,,3842,Mastbaum Jules E AVTS,88,55,62.50%,44,50.00%,57,64.77%,2,2.27%,11,12.50%
,,,3843,Girls HS,232,202,87.07%,199,85.78%,202,87.07%,0,0.00%,3,1.29%
,,,3844,Roxborough HS,100,78,78.00%,76,76.00%,82,82.00%,4,4.00%,2,2.00%
,,,3845,Lincoln HS,252,181,71.83%,167,66.27%,183,72.62%,2,0.79%,14,5.56%
,,,3847,Bartram John - Main,138,72,52.17%,64,46.38%,80,57.97%,8,5.80%,8,5.80%
,,,3848,Central HS,548,408,74.45%,406,74.09%,409,74.64%,1,0.18%,2,0.36%
,,,3849,Edison HS/Fareira Skills,160,83,51.88%,71,44.38%,86,53.75%,3,1.88%,12,7.50%
,,,3850,Frankford HS,222,111,50.00%,94,42.34%,114,51.35%,3,1.35%,17,7.66%
,,,3851,Franklin Benjamin HS,82,31,37.80%,25,30.49%,31,37.80%,0,0.00%,6,7.32%
,,,3855,Northeast HS,679,461,67.89%,448,65.98%,477,70.25%,16,2.36%,13,1.91%
,,,3857,Overbrook HS,78,51,65.38%,46,58.97%,54,69.23%,3,3.85%,5,6.41%
,,,3859,South Philadelphia HS,88,41,46.59%,39,44.32%,42,47.73%,1,1.14%,2,2.27%
,,,3860,West Philadelphia HS,75,47,62.67%,43,57.33%,50,66.67%,3,4.00%,4,5.33%
,,,3861,Saul W B Agricultural School,80,9,11.25%,9,11.25%,9,11.25%,0,0.00%,0,0.00%
,,,6527,Washington George HS,266,191,71.80%,179,67.29%,196,73.68%,5,1.88%,12,4.51%
,,,6548,Parkway Northwest,43,33,76.74%,33,76.74%,34,79.07%,1,2.33%,0,0.00%
,,,6675,King Martin Luther HS,89,38,42.70%,34,38.20%,43,48.31%,5,5.62%,4,4.49%
,,,6822,Franklin LC,160,126,78.75%,120,75.00%,129,80.63%,3,1.88%,6,3.75%
,,,6996,Creative and Performing Arts,138,112,81.16%,112,81.16%,113,81.88%,1,0.72%,0,0.00%
,,,7023,Carver HS,150,141,94.00%,140,93.33%,142,94.67%,1,0.67%,1,0.67%
,,,7070,Bodine William W HS,103,82,79.61%,82,79.61%,85,82.52%,3,2.91%,0,0.00%
